Ancestor's Chosen;7;W;uncommon;9126;10E;9
Ancestor's Chosen;7;W;uncommon;11513;10E;24
Angel of Mercy;5;W;uncommon;1661;10E;6
Angel of Mercy;5;W;uncommon;1265;10E;12
Angelic Blessing;3;W;common;385;10E;4
Angelic Blessing;3;W;common;5118;10E;9
Angelic Chorus;5;W;rare;6980;10E;13
Angelic Wall;2;W;common;8039;10E;24
Angelic Wall;2;W;common;421;10E;0
Aura of Silence;3;W;uncommon;10084;10E;24
Aven Cloudchaser;4;W;common;3801;10E;5
Aven Cloudchaser;4;W;common;13366;10E;11
Ballista Squad;4;W;uncommon;1096;10E;6
Bandage;1;W;common;5635;10E;10
Beacon of Immortality;6;W;rare;6786;10E;0
Benalish Knight;3;W;common;6710;10E;2
Benalish Knight;3;W;common;13296;10E;12
Cho-Manno, Revolutionary;4;W;rare;10246;10E;9
Condemn;1;W;uncommon;9735;10E;22
Demystify;1;W;common;6636;10E;7
Field Marshal;3;W;rare;6494;10E;25
Field Marshal;3;W;rare;9074;10E;6
Ghost Warden;2;W;common;13035;10E;18
Glorious Anthem;3;W;rare;8337;10E;6
Hail of Arrows;1;W;uncommon;3902;10E;9
Heart of Light;3;W;common;13878;10E;25
Heart of Light;3;W;common;11904;10E;15
High Ground;1;W;uncommon;2864;10E;16
Holy Day;1;W;common;6774;10E;7
Holy Strength;1;W;common;8126;10E;9
Holy Strength;1;W;common;8328;10E;13
Honor Guard;1;W;common;6941;10E;20
Icatian Priest;1;W;uncommon;13323;10E;13
Kjeldoran Royal Guard;5;W;rare;9413;10E;3
Loxodon Mystic;5;W;common;4772;10E;25
Loyal Sentry;1;W;rare;10758;10E;12
Luminesce;1;W;uncommon;3276;10E;22
Mobilization;3;W;rare;13896;10E;24
Mobilization;3;W;rare;1276;10E;1
Nomad Mythmaker;3;W;rare;11758;10E;23
Nomad Mythmaker;3;W;rare;6172;10E;7
Pacifism;2;W;common;2432;10E;7
Pacifism;2;W;common;8321;10E;20
Paladin en-Vec;3;W;rare;7386;10E;25
Paladin en-Vec;3;W;rare;12601;10E;2
Pariah;3;W;rare;10588;10E;4
